#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github/PIM/SPGK/spk.exe
#ApplicationArgs=-directory /home/lifxu/Desktop/github/personal/graph_gen/output -platform 1 -gk 0 -option 5 -vertex 0 -gauss 0.1
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
edge_kernel_multipim_3__k2_Tahiti1, 20, 2466, 0, {   1280       1       1}, {  128     1     1},         2.43274, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.24,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 21, 2467, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 22, 2468, 0, {     64      64       1}, {   16    16     1},         0.01304, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.93,         0.15,         4.31,        70.94,         2.50,         0.15,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 23, 2469, 0, {   1280       1       1}, {  128     1     1},         2.43644, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.94,        99.12,        16.36,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 24, 2470, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 25, 2471, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        70.83,         3.97,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 26, 2472, 0, {   1280       1       1}, {  128     1     1},         2.43822, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.40,         0.85,        78.81,        99.12,        16.08,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 27, 2473, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 28, 2477, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.04,         0.24,         4.31,        70.49,         3.95,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 29, 2478, 0, {   1280       1       1}, {  128     1     1},         2.33778, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.48,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 30, 2480, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 31, 2481, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        71.24,         3.93,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 32, 2483, 0, {   1280       1       1}, {  128     1     1},         2.42889, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.15,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 33, 2484, 0, {   1280       1       1}, {  128     1     1},         0.01052, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 34, 2485, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        70.94,         3.93,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 35, 2486, 0, {   1280       1       1}, {  128     1     1},         2.34104, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.41,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 36, 2487, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 37, 2488, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.02,         0.23,         4.31,        70.87,         3.95,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 38, 2489, 0, {   1280       1       1}, {  128     1     1},         2.39970, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.12,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 39, 2490, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 40, 2491, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.06,         0.24,         4.31,        70.56,         2.82,         0.24,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 41, 2492, 0, {   1280       1       1}, {  128     1     1},         2.34000, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.47,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 42, 2493, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.70,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 43, 2494, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.07,         0.24,         4.31,        71.09,         3.98,         0.24,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 44, 2495, 0, {   1280       1       1}, {  128     1     1},         2.43867, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.25,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 45, 2496, 0, {   1280       1       1}, {  128     1     1},         0.00948, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.17,         0.38,        10.31,        23.74,         0.43,         0.01,         0.00,         0.01,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 46, 2497, 0, {     64      64       1}, {   16    16     1},         0.01304, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.01,         0.23,         4.31,        70.78,         3.91,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 47, 2498, 0, {   1280       1       1}, {  128     1     1},         2.34415, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.94,        99.12,        16.29,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 48, 2500, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 49, 2501, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.07,         0.24,         4.31,        70.81,         4.03,         0.24,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 50, 2502, 0, {   1280       1       1}, {  128     1     1},         2.43956, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.41,         0.85,        78.81,        99.12,        16.10,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 51, 2503, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 52, 2504, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.06,         0.24,         4.31,        70.47,         4.01,         0.24,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 53, 2505, 0, {   1280       1       1}, {  128     1     1},         2.33763, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.55,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 54, 2506, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 55, 2507, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.05,         0.24,         4.31,        71.22,         3.96,         0.23,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 56, 2508, 0, {   1280       1       1}, {  128     1     1},         2.36356, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.34,         0.83,      8393.06,        56.44,        16.88,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 57, 2510, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 58, 2511, 0, {     64      64       1}, {   16    16     1},         0.01304, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.11,         0.24,         4.31,        70.94,         2.75,         0.20,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 59, 2512, 0, {   1280       1       1}, {  128     1     1},         2.34178, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.30,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 60, 2513, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 61, 2514, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        71.32,         2.68,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 62, 2515, 0, {   1280       1       1}, {  128     1     1},         2.35007, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.34,         0.82,      8384.69,        56.36,        16.76,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 63, 2516, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.17,         0.38,        10.31,        23.74,         0.43,         0.01,         0.00,         0.01,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 64, 2517, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.98,         0.15,         4.31,        71.02,         1.76,         0.12,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 65, 2518, 0, {   1280       1       1}, {  128     1     1},         2.33985, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.60,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 66, 2519, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        30.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 67, 2520, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.07,         0.24,         4.31,        70.18,         2.78,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 68, 2521, 0, {   1280       1       1}, {  128     1     1},         2.42918, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.41,         0.85,        78.81,        99.12,        16.13,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 69, 2522, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.70,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 70, 2523, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.12,         0.24,         4.31,        70.87,         2.85,         0.20,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 71, 2524, 0, {   1280       1       1}, {  128     1     1},         2.34296, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.41,         0.85,        78.94,        99.12,        16.33,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 72, 2525, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 73, 2526, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.11,         0.24,         4.31,        71.28,         2.77,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 74, 2527, 0, {   1280       1       1}, {  128     1     1},         2.35585, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.33,         0.82,      8389.94,        56.42,        16.84,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 75, 2528, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
